Geographic Name,Race Origin,Income Level,Year,Measure Names,Measure Values
Adair County,  Two or more races,Median Family Income,2012-2016,Margin of Error (+/-),
Adair County,  Some other race alone,Median Family Income,2012-2016,Margin of Error (+/-),
Adair County,  Asian alone,Median Family Income,2012-2016,Margin of Error (+/-),
Adair County,  American Indian and Alaska Native alone,Median Family Income,2012-2016,Margin of Error (+/-),
Adair County,  Black/African American alone,Median Family Income,2012-2016,Margin of Error (+/-),
Adair County,  White alone,Median Family Income,2012-2016,Margin of Error (+/-),2504
Adair County,Total,Median Family Income,2012-2016,Margin of Error (+/-),2655
Adair County,Native Hawaiian and other Pacific Islander alone,Median Family Income,2012-2016,Estimate,
Adair County,  White alone not Hispanic or Latino,Median Family Income,2012-2016,Estimate,61463
Adair County,Hispanic or Latino origin,Median Family Income,2012-2016,Estimate,41458
Adair County,  Two or more races,Median Family Income,2012-2016,Estimate,
Adair County,  Some other race alone,Median Family Income,2012-2016,Estimate,
Adair County,  Asian alone,Median Family Income,2012-2016,Estimate,
Adair County,  American Indian and Alaska Native alone,Median Family Income,2012-2016,Estimate,
Adair County,  Black/African American alone,Median Family Income,2012-2016,Estimate,
Adair County,  White alone,Median Family Income,2012-2016,Estimate,61509
Adair County,Total,Median Family Income,2012-2016,Estimate,61494
Adair County,Native Hawaiian and other Pacific Islander alone,Median Family Income,2007-2011,Margin of Error (+/-),
Adair County,  White alone not Hispanic or Latino,Median Family Income,2007-2011,Margin of Error (+/-),2632
Adair County,Hispanic or Latino origin,Median Family Income,2007-2011,Margin of Error (+/-),2065
Adair County,  Two or more races,Median Family Income,2007-2011,Margin of Error (+/-),31961
Adair County,  Some other race alone,Median Family Income,2007-2011,Margin of Error (+/-),
Adair County,  Asian alone,Median Family Income,2007-2011,Margin of Error (+/-),10253
Adair County,  American Indian and Alaska Native alone,Median Family Income,2007-2011,Margin of Error (+/-),
Adair County,  Black/African American alone,Median Family Income,2007-2011,Margin of Error (+/-),
Adair County,  White alone,Median Family Income,2007-2011,Margin of Error (+/-),2632
Adair County,Total,Median Family Income,2007-2011,Margin of Error (+/-),2553
Adair County,Native Hawaiian and other Pacific Islander alone,Median Family Income,2007-2011,Estimate,
Adair County,  White alone not Hispanic or Latino,Median Family Income,2007-2011,Estimate,58247
Adair County,Hispanic or Latino origin,Median Family Income,2007-2011,Estimate,12917
Adair County,  Two or more races,Median Family Income,2007-2011,Estimate,22500
Adair County,  Some other race alone,Median Family Income,2007-2011,Estimate,
Adair County,  Asian alone,Median Family Income,2007-2011,Estimate,27750
Adair County,  American Indian and Alaska Native alone,Median Family Income,2007-2011,Estimate,
Adair County,  Black/African American alone,Median Family Income,2007-2011,Estimate,
Adair County,  White alone,Median Family Income,2007-2011,Estimate,58247
Adair County,Total,Median Family Income,2007-2011,Estimate,57778
Adair County,Native Hawaiian and other Pacific Islander alone,Median Nonfamily Income,2017-2021,Margin of Error (+/-),
Adair County,  White alone not Hispanic or Latino,Median Nonfamily Income,2017-2021,Margin of Error (+/-),3796
Adair County,Hispanic or Latino origin,Median Nonfamily Income,2017-2021,Margin of Error (+/-),
Adair County,  Two or more races,Median Nonfamily Income,2017-2021,Margin of Error (+/-),
Adair County,  Some other race alone,Median Nonfamily Income,2017-2021,Margin of Error (+/-),
Adair County,  Asian alone,Median Nonfamily Income,2017-2021,Margin of Error (+/-),
Adair County,  American Indian and Alaska Native alone,Median Nonfamily Income,2017-2021,Margin of Error (+/-),
Adair County,  Black/African American alone,Median Nonfamily Income,2017-2021,Margin of Error (+/-),
Adair County,  White alone,Median Nonfamily Income,2017-2021,Margin of Error (+/-),3796
Adair County,Total,Median Nonfamily Income,2017-2021,Margin of Error (+/-),3110
Adair County,Native Hawaiian and other Pacific Islander alone,Median Nonfamily Income,2017-2021,Estimate,
Adair County,  White alone not Hispanic or Latino,Median Nonfamily Income,2017-2021,Estimate,33996
Adair County,Hispanic or Latino origin,Median Nonfamily Income,2017-2021,Estimate,
Adair County,  Two or more races,Median Nonfamily Income,2017-2021,Estimate,
Adair County,  Some other race alone,Median Nonfamily Income,2017-2021,Estimate,
Adair County,  Asian alone,Median Nonfamily Income,2017-2021,Estimate,
Adair County,  American Indian and Alaska Native alone,Median Nonfamily Income,2017-2021,Estimate,
Adair County,  Black/African American alone,Median Nonfamily Income,2017-2021,Estimate,
Adair County,  White alone,Median Nonfamily Income,2017-2021,Estimate,33996
Adair County,Total,Median Nonfamily Income,2017-2021,Estimate,34167
Adair County,Native Hawaiian and other Pacific Islander alone,Median Nonfamily Income,2012-2016,Margin of Error (+/-),
Adair County,  White alone not Hispanic or Latino,Median Nonfamily Income,2012-2016,Margin of Error (+/-),3700
Adair County,Hispanic or Latino origin,Median Nonfamily Income,2012-2016,Margin of Error (+/-),750
Adair County,  Two or more races,Median Nonfamily Income,2012-2016,Margin of Error (+/-),
Adair County,  Some other race alone,Median Nonfamily Income,2012-2016,Margin of Error (+/-),
Adair County,  Asian alone,Median Nonfamily Income,2012-2016,Margin of Error (+/-),
Adair County,  American Indian and Alaska Native alone,Median Nonfamily Income,2012-2016,Margin of Error (+/-),
Adair County,  Black/African American alone,Median Nonfamily Income,2012-2016,Margin of Error (+/-),
Adair County,  White alone,Median Nonfamily Income,2012-2016,Margin of Error (+/-),3096
Adair County,Total,Median Nonfamily Income,2012-2016,Margin of Error (+/-),3096
Adair County,Native Hawaiian and other Pacific Islander alone,Median Nonfamily Income,2012-2016,Estimate,
Adair County,  White alone not Hispanic or Latino,Median Nonfamily Income,2012-2016,Estimate,27147
Adair County,Hispanic or Latino origin,Median Nonfamily Income,2012-2016,Estimate,26477
Adair County,  Two or more races,Median Nonfamily Income,2012-2016,Estimate,
Adair County,  Some other race alone,Median Nonfamily Income,2012-2016,Estimate,
Adair County,  Asian alone,Median Nonfamily Income,2012-2016,Estimate,
Adair County,  American Indian and Alaska Native alone,Median Nonfamily Income,2012-2016,Estimate,
Adair County,  Black/African American alone,Median Nonfamily Income,2012-2016,Estimate,
Adair County,  White alone,Median Nonfamily Income,2012-2016,Estimate,27018
Adair County,Total,Median Nonfamily Income,2012-2016,Estimate,27018
Adair County,Native Hawaiian and other Pacific Islander alone,Median Nonfamily Income,2007-2011,Margin of Error (+/-),
Adair County,  White alone not Hispanic or Latino,Median Nonfamily Income,2007-2011,Margin of Error (+/-),3318
Adair County,Hispanic or Latino origin,Median Nonfamily Income,2007-2011,Margin of Error (+/-),
Adair County,  Two or more races,Median Nonfamily Income,2007-2011,Margin of Error (+/-),
Adair County,  Some other race alone,Median Nonfamily Income,2007-2011,Margin of Error (+/-),
Adair County,  Asian alone,Median Nonfamily Income,2007-2011,Margin of Error (+/-),
Adair County,  American Indian and Alaska Native alone,Median Nonfamily Income,2007-2011,Margin of Error (+/-),
Adair County,  Black/African American alone,Median Nonfamily Income,2007-2011,Margin of Error (+/-),
Adair County,  White alone,Median Nonfamily Income,2007-2011,Margin of Error (+/-),3318
Adair County,Total,Median Nonfamily Income,2007-2011,Margin of Error (+/-),3031
Adair County,Native Hawaiian and other Pacific Islander alone,Median Nonfamily Income,2007-2011,Estimate,
Adair County,  White alone not Hispanic or Latino,Median Nonfamily Income,2007-2011,Estimate,24915
Adair County,Hispanic or Latino origin,Median Nonfamily Income,2007-2011,Estimate,
Adair County,  Two or more races,Median Nonfamily Income,2007-2011,Estimate,
Adair County,  Some other race alone,Median Nonfamily Income,2007-2011,Estimate,
Adair County,  Asian alone,Median Nonfamily Income,2007-2011,Estimate,
Adair County,  American Indian and Alaska Native alone,Median Nonfamily Income,2007-2011,Estimate,
Adair County,  Black/African American alone,Median Nonfamily Income,2007-2011,Estimate,
Adair County,  White alone,Median Nonfamily Income,2007-2011,Estimate,24915
Adair County,Total,Median Nonfamily Income,2007-2011,Estimate,25194
Adair County,Native Hawaiian and other Pacific Islander alone,Per Capita Income,2017-2021,Margin of Error (+/-),
Adair County,  White alone not Hispanic or Latino,Per Capita Income,2017-2021,Margin of Error (+/-),2654
Adair County,Hispanic or Latino origin,Per Capita Income,2017-2021,Margin of Error (+/-),4096
Adair County,  Two or more races,Per Capita Income,2017-2021,Margin of Error (+/-),2833
Adair County,  Some other race alone,Per Capita Income,2017-2021,Margin of Error (+/-),6413
Adair County,  Asian alone,Per Capita Income,2017-2021,Margin of Error (+/-),9467
Adair County,  American Indian and Alaska Native alone,Per Capita Income,2017-2021,Margin of Error (+/-),
Adair County,  Black/African American alone,Per Capita Income,2017-2021,Margin of Error (+/-),11542
Adair County,  White alone,Per Capita Income,2017-2021,Margin of Error (+/-),2622
Adair County,Total,Per Capita Income,2017-2021,Margin of Error (+/-),2504
Adair County,Native Hawaiian and other Pacific Islander alone,Per Capita Income,2017-2021,Estimate,
Adair County,  White alone not Hispanic or Latino,Per Capita Income,2017-2021,Estimate,34761
Adair County,Hispanic or Latino origin,Per Capita Income,2017-2021,Estimate,12161
Adair County,  Two or more races,Per Capita Income,2017-2021,Estimate,5465
Adair County,  Some other race alone,Per Capita Income,2017-2021,Estimate,13580
Adair County,  Asian alone,Per Capita Income,2017-2021,Estimate,10796
Adair County,  American Indian and Alaska Native alone,Per Capita Income,2017-2021,Estimate,
Adair County,  Black/African American alone,Per Capita Income,2017-2021,Estimate,27302
Adair County,  White alone,Per Capita Income,2017-2021,Estimate,34216
Adair County,Total,Per Capita Income,2017-2021,Estimate,33581
Adair County,Native Hawaiian and other Pacific Islander alone,Per Capita Income,2012-2016,Margin of Error (+/-),
Adair County,  White alone not Hispanic or Latino,Per Capita Income,2012-2016,Margin of Error (+/-),1557
Adair County,Hispanic or Latino origin,Per Capita Income,2012-2016,Margin of Error (+/-),4871
Adair County,  Two or more races,Per Capita Income,2012-2016,Margin of Error (+/-),27578
Adair County,  Asian alone,Per Capita Income,2012-2016,Margin of Error (+/-),8643
Adair County,  Black/African American alone,Per Capita Income,2012-2016,Margin of Error (+/-),7443
Adair County,  White alone,Per Capita Income,2012-2016,Margin of Error (+/-),1545
Adair County,Total,Per Capita Income,2012-2016,Margin of Error (+/-),1555
Adair County,Native Hawaiian and other Pacific Islander alone,Per Capita Income,2012-2016,Estimate,
Adair County,  White alone not Hispanic or Latino,Per Capita Income,2012-2016,Estimate,27506
Adair County,Hispanic or Latino origin,Per Capita Income,2012-2016,Estimate,18011
Adair County,  Two or more races,Per Capita Income,2012-2016,Estimate,34165
Adair County,  Asian alone,Per Capita Income,2012-2016,Estimate,10397
Adair County,  Black/African American alone,Per Capita Income,2012-2016,Estimate,18152
Adair County,  White alone,Per Capita Income,2012-2016,Estimate,27395
Adair County,Total,Per Capita Income,2012-2016,Estimate,27358
Adair County,Native Hawaiian and other Pacific Islander alone,Per Capita Income,2007-2011,Margin of Error (+/-),
Adair County,  White alone not Hispanic or Latino,Per Capita Income,2007-2011,Margin of Error (+/-),1197
Adair County,Hispanic or Latino origin,Per Capita Income,2007-2011,Margin of Error (+/-),7059
Adair County,  Two or more races,Per Capita Income,2007-2011,Margin of Error (+/-),8288
Adair County,  Some other race alone,Per Capita Income,2007-2011,Margin of Error (+/-),
Adair County,  Asian alone,Per Capita Income,2007-2011,Margin of Error (+/-),1825
Adair County,  American Indian and Alaska Native alone,Per Capita Income,2007-2011,Margin of Error (+/-),14098
Adair County,  Black/African American alone,Per Capita Income,2007-2011,Margin of Error (+/-),3963
Adair County,  White alone,Per Capita Income,2007-2011,Margin of Error (+/-),1195
Adair County,Total,Per Capita Income,2007-2011,Margin of Error (+/-),1166
Adair County,Native Hawaiian and other Pacific Islander alone,Per Capita Income,2007-2011,Estimate,
Adair County,  White alone not Hispanic or Latino,Per Capita Income,2007-2011,Estimate,24628
Adair County,Hispanic or Latino origin,Per Capita Income,2007-2011,Estimate,6509
Adair County,  Two or more races,Per Capita Income,2007-2011,Estimate,11420
Adair County,  Some other race alone,Per Capita Income,2007-2011,Estimate,
Adair County,  Asian alone,Per Capita Income,2007-2011,Estimate,9016
Adair County,  American Indian and Alaska Native alone,Per Capita Income,2007-2011,Estimate,7325
Adair County,  Black/African American alone,Per Capita Income,2007-2011,Estimate,4270
Adair County,  White alone,Per Capita Income,2007-2011,Estimate,24632
Adair County,Total,Per Capita Income,2007-2011,Estimate,24307
Adams County,Native Hawaiian and other Pacific Islander alone,Median Household Income,2017-2021,Margin of Error (+/-),
Adams County,  White alone not Hispanic or Latino,Median Household Income,2017-2021,Margin of Error (+/-),8510
Adams County,Hispanic or Latino origin,Median Household Income,2017-2021,Margin of Error (+/-),
Adams County,  Two or more races,Median Household Income,2017-2021,Margin of Error (+/-),18605
Adams County,  Some other race alone,Median Household Income,2017-2021,Margin of Error (+/-),
Adams County,  Asian alone,Median Household Income,2017-2021,Margin of Error (+/-),
Adams County,  American Indian and Alaska Native alone,Median Household Income,2017-2021,Margin of Error (+/-),
Adams County,  Black/African American alone,Median Household Income,2017-2021,Margin of Error (+/-),
Adams County,  White alone,Median Household Income,2017-2021,Margin of Error (+/-),8524
Adams County,Total,Median Household Income,2017-2021,Margin of Error (+/-),7853
Adams County,Native Hawaiian and other Pacific Islander alone,Median Household Income,2017-2021,Estimate,
Adams County,  White alone not Hispanic or Latino,Median Household Income,2017-2021,Estimate,57446
Adams County,Hispanic or Latino origin,Median Household Income,2017-2021,Estimate,
Adams County,  Two or more races,Median Household Income,2017-2021,Estimate,62857
Adams County,  Some other race alone,Median Household Income,2017-2021,Estimate,
Adams County,  Asian alone,Median Household Income,2017-2021,Estimate,
Adams County,  American Indian and Alaska Native alone,Median Household Income,2017-2021,Estimate,
Adams County,  Black/African American alone,Median Household Income,2017-2021,Estimate,
Adams County,  White alone,Median Household Income,2017-2021,Estimate,57120
Adams County,Total,Median Household Income,2017-2021,Estimate,57981
Adams County,Native Hawaiian and other Pacific Islander alone,Median Household Income,2012-2016,Margin of Error (+/-),
Adams County,  White alone not Hispanic or Latino,Median Household Income,2012-2016,Margin of Error (+/-),4738
Adams County,Hispanic or Latino origin,Median Household Income,2012-2016,Margin of Error (+/-),10632
Adams County,  Two or more races,Median Household Income,2012-2016,Margin of Error (+/-),
Adams County,  Some other race alone,Median Household Income,2012-2016,Margin of Error (+/-),
Adams County,  Asian alone,Median Household Income,2012-2016,Margin of Error (+/-),
Adams County,  American Indian and Alaska Native alone,Median Household Income,2012-2016,Margin of Error (+/-),
Adams County,  Black/African American alone,Median Household Income,2012-2016,Margin of Error (+/-),
Adams County,  White alone,Median Household Income,2012-2016,Margin of Error (+/-),4636
Adams County,Total,Median Household Income,2012-2016,Margin of Error (+/-),4283
Adams County,Native Hawaiian and other Pacific Islander alone,Median Household Income,2012-2016,Estimate,
Adams County,  White alone not Hispanic or Latino,Median Household Income,2012-2016,Estimate,49621
Adams County,Hispanic or Latino origin,Median Household Income,2012-2016,Estimate,16667
Adams County,  Two or more races,Median Household Income,2012-2016,Estimate,
Adams County,  Some other race alone,Median Household Income,2012-2016,Estimate,
Adams County,  Asian alone,Median Household Income,2012-2016,Estimate,
Adams County,  American Indian and Alaska Native alone,Median Household Income,2012-2016,Estimate,
Adams County,  Black/African American alone,Median Household Income,2012-2016,Estimate,
Adams County,  White alone,Median Household Income,2012-2016,Estimate,49318
Adams County,Total,Median Household Income,2012-2016,Estimate,48598
Adams County,Native Hawaiian and other Pacific Islander alone,Median Household Income,2007-2011,Margin of Error (+/-),
Adams County,  White alone not Hispanic or Latino,Median Household Income,2007-2011,Margin of Error (+/-),4214
Adams County,Hispanic or Latino origin,Median Household Income,2007-2011,Margin of Error (+/-),59051
Adams County,  Two or more races,Median Household Income,2007-2011,Margin of Error (+/-),57698
Adams County,  Some other race alone,Median Household Income,2007-2011,Margin of Error (+/-),
Adams County,  Asian alone,Median Household Income,2007-2011,Margin of Error (+/-),
Adams County,  American Indian and Alaska Native alone,Median Household Income,2007-2011,Margin of Error (+/-),
Adams County,  Black/African American alone,Median Household Income,2007-2011,Margin of Error (+/-),
Adams County,  White alone,Median Household Income,2007-2011,Margin of Error (+/-),4477
Adams County,Total,Median Household Income,2007-2011,Margin of Error (+/-),4239
Adams County,Native Hawaiian and other Pacific Islander alone,Median Household Income,2007-2011,Estimate,
Adams County,  White alone not Hispanic or Latino,Median Household Income,2007-2011,Estimate,44500
Adams County,Hispanic or Latino origin,Median Household Income,2007-2011,Estimate,51250
Adams County,  Two or more races,Median Household Income,2007-2011,Estimate,32500
Adams County,  Some other race alone,Median Household Income,2007-2011,Estimate,
Adams County,  Asian alone,Median Household Income,2007-2011,Estimate,
Adams County,  American Indian and Alaska Native alone,Median Household Income,2007-2011,Estimate,
Adams County,  Black/African American alone,Median Household Income,2007-2011,Estimate,
Adams County,  White alone,Median Household Income,2007-2011,Estimate,44139
Adams County,Total,Median Household Income,2007-2011,Estimate,44389
Adams County,Native Hawaiian and other Pacific Islander alone,Median Family Income,2017-2021,Margin of Error (+/-),
Adams County,  White alone not Hispanic or Latino,Median Family Income,2017-2021,Margin of Error (+/-),4680
Adams County,Hispanic or Latino origin,Median Family Income,2017-2021,Margin of Error (+/-),
Adams County,  Two or more races,Median Family Income,2017-2021,Margin of Error (+/-),27233
Adams County,  Some other race alone,Median Family Income,2017-2021,Margin of Error (+/-),
Adams County,  Asian alone,Median Family Income,2017-2021,Margin of Error (+/-),
Adams County,  American Indian and Alaska Native alone,Median Family Income,2017-2021,Margin of Error (+/-),
Adams County,  Black/African American alone,Median Family Income,2017-2021,Margin of Error (+/-),
Adams County,  White alone,Median Family Income,2017-2021,Margin of Error (+/-),4671
Adams County,Total,Median Family Income,2017-2021,Margin of Error (+/-),4547
Adams County,Native Hawaiian and other Pacific Islander alone,Median Family Income,2017-2021,Estimate,
Adams County,  White alone not Hispanic or Latino,Median Family Income,2017-2021,Estimate,73682
Adams County,Hispanic or Latino origin,Median Family Income,2017-2021,Estimate,
Adams County,  Two or more races,Median Family Income,2017-2021,Estimate,63750
Adams County,  Some other race alone,Median Family Income,2017-2021,Estimate,
Adams County,  Asian alone,Median Family Income,2017-2021,Estimate,
Adams County,  American Indian and Alaska Native alone,Median Family Income,2017-2021,Estimate,
Adams County,  Black/African American alone,Median Family Income,2017-2021,Estimate,
Adams County,  White alone,Median Family Income,2017-2021,Estimate,73547
Adams County,Total,Median Family Income,2017-2021,Estimate,73446
Adams County,Native Hawaiian and other Pacific Islander alone,Median Family Income,2012-2016,Margin of Error (+/-),
Adams County,  White alone not Hispanic or Latino,Median Family Income,2012-2016,Margin of Error (+/-),3803
Adams County,Hispanic or Latino origin,Median Family Income,2012-2016,Margin of Error (+/-),
Adams County,  Two or more races,Median Family Income,2012-2016,Margin of Error (+/-),
Adams County,  Some other race alone,Median Family Income,2012-2016,Margin of Error (+/-),
Adams County,  Asian alone,Median Family Income,2012-2016,Margin of Error (+/-),
Adams County,  American Indian and Alaska Native alone,Median Family Income,2012-2016,Margin of Error (+/-),
Adams County,  Black/African American alone,Median Family Income,2012-2016,Margin of Error (+/-),
Adams County,  White alone,Median Family Income,2012-2016,Margin of Error (+/-),3716
Adams County,Total,Median Family Income,2012-2016,Margin of Error (+/-),3716
Adams County,Native Hawaiian and other Pacific Islander alone,Median Family Income,2012-2016,Estimate,
Adams County,  White alone not Hispanic or Latino,Median Family Income,2012-2016,Estimate,61330
Adams County,Hispanic or Latino origin,Median Family Income,2012-2016,Estimate,
Adams County,  Two or more races,Median Family Income,2012-2016,Estimate,
Adams County,  Some other race alone,Median Family Income,2012-2016,Estimate,
Adams County,  Asian alone,Median Family Income,2012-2016,Estimate,
Adams County,  American Indian and Alaska Native alone,Median Family Income,2012-2016,Estimate,
Adams County,  Black/African American alone,Median Family Income,2012-2016,Estimate,
Adams County,  White alone,Median Family Income,2012-2016,Estimate,61197
Adams County,Total,Median Family Income,2012-2016,Estimate,61197
Adams County,Native Hawaiian and other Pacific Islander alone,Median Family Income,2007-2011,Margin of Error (+/-),
Adams County,  White alone not Hispanic or Latino,Median Family Income,2007-2011,Margin of Error (+/-),4818
Adams County,Hispanic or Latino origin,Median Family Income,2007-2011,Margin of Error (+/-),59051
Adams County,  Two or more races,Median Family Income,2007-2011,Margin of Error (+/-),64244
Adams County,  Some other race alone,Median Family Income,2007-2011,Margin of Error (+/-),
Adams County,  Asian alone,Median Family Income,2007-2011,Margin of Error (+/-),
Adams County,  American Indian and Alaska Native alone,Median Family Income,2007-2011,Margin of Error (+/-),
Adams County,  Black/African American alone,Median Family Income,2007-2011,Margin of Error (+/-),
Adams County,  White alone,Median Family Income,2007-2011,Margin of Error (+/-),5640
Adams County,Total,Median Family Income,2007-2011,Margin of Error (+/-),5833
Adams County,Native Hawaiian and other Pacific Islander alone,Median Family Income,2007-2011,Estimate,
Adams County,  White alone not Hispanic or Latino,Median Family Income,2007-2011,Estimate,56375
Adams County,Hispanic or Latino origin,Median Family Income,2007-2011,Estimate,51250
Adams County,  Two or more races,Median Family Income,2007-2011,Estimate,30000
Adams County,  Some other race alone,Median Family Income,2007-2011,Estimate,
Adams County,  Asian alone,Median Family Income,2007-2011,Estimate,
Adams County,  American Indian and Alaska Native alone,Median Family Income,2007-2011,Estimate,
Adams County,  Black/African American alone,Median Family Income,2007-2011,Estimate,
Adams County,  White alone,Median Family Income,2007-2011,Estimate,55969
Adams County,Total,Median Family Income,2007-2011,Estimate,56063
Adams County,Native Hawaiian and other Pacific Islander alone,Median Nonfamily Income,2017-2021,Margin of Error (+/-),
